一 一壹
召 召
叭 叭
叮 叮
可 可
台 台
叱 叱
史 史
右 右
叶 叶协
号 号
司 司
吁 吁
吃 吃
各 各
合 合阖
吉 吉
吊 吊
吋 寸
同 同仝
名 名
后 后後
吏 吏
吐 吐
向 向
君 君
吝 吝
吟 吟
吠 吠
否 否
吩 吩
含 含
听 听
吭 吭
吮 吮
吶 呐讷
吸 吸
吹 吹
吻 吻
吼 吼
吾 吾
呀 呀
呂 吕
呆 呆
呈 呈
呉 吴
告 告
呎 尺
呑 吞
周 周
呪 咒
呱 呱哌
味 味
呵 呵诃
呶 呶
呷 呷
呻 呻
呼 呼
命 命
咀 咀嘴觜
咄 咄
咆 咆
咋 咋
和 和
咎 咎
咏 咏
咐 咐
咒 咒
咤 咤吒
咥 嘻
咨 咨谘
咫 咫
咬 咬
咯 咯喀
咲 笑
咳 咳
咸 咸
咼 呙
咽 咽
哀 哀
品 品
哂 哂吲
哄 哄
哇 哇
哈 哈
哉 哉
員 员
哥 哥
哦 哦
哨 哨
哩 哩
哭 哭
哮 哮
哲 哲
哺 哺
哽 哽
唄 呗
唆 唆
唇 唇
唏 唏
唐 唐
唔 唔
唖 哑
售 售
唯 唯
唱 唱
唳 唳
唸 念
唹 唷
唾 唾
啄 啄
商 商
問 问
啓 启
啖 啖
啗 啖
啜 啜
啣 衔
啻 啻
啼 啼
啾 啾
喀 喀咯
喃 喃
善 善
喇 喇
喉 喉
喊 喊
喋 喋
喘 喘
喙 喙
喚 唤
喜 喜
喝 喝
喞 唧
喟 喟
喧 喧
喩 喻
喪 丧
喫 吃
喬 乔
單 单
喰 餐
営 营
嗄 嗄
嗅 嗅
嗇 啬
嗔 嗔
嗚 呜
嗜 嗜
嗟 嗟
嗣 嗣
嗤 嗤
嗷 嗷
嗽 嗽
嗾 嗾
嘆 叹
嘉 嘉
嘔 呕怄
嘖 啧
嘗 尝
嘘 嘘
嘛 嘛
嘩 哗
嘯 啸
嘱 嘱
嘲 嘲
嘴 嘴咀觜
嘶 嘶
嘸 呒
噌 噌
噎 噎
噐 器
噛 啮
噤 噤
器 器
噪 噪
噫 噫
噬 噬
噴 喷
噸 吨
嚀 咛
嚆 嚆
嚇 吓
嚏 嚏
嚔 嚏
嚠 浏
嚢 囊
嚥 咽
嚮 向
嚴 严
嚶 嘤
嚼 嚼
囀 啭
囁 嗫
囂 嚣
囈 呓
囑 嘱
囓 啮
囗 囗
囘 回
囚 囚
四 四肆
回 回
因 因
団 团
囮 谔
困 困
囲 围
図 图
囹 囹
固 固
国 国
囿 囿
圀 国
圃 圃
圄 圄
圈 圈
圉 圉
國 国
圍 围
圏 圈
園 园
圓 圆
圖 图
團 团
圜 圜
土 土
圧 压
在 在
圭 圭
地 地
圻 圻垠
址 址
坂 坂阪
均 均
坊 坊
坎 坎
坏 坏坯
坐 坐座
坑 坑
坡 坡陂
坤 坤
坦 坦
坩 坩
坪 坪
垂 垂
型 型
垓 垓陔
垠 垠圻
垢 垢
垣 垣
垤 垤
埀 垂
埃 埃
埋 埋
城 城
埒 埒
埓 埒
埔 埔
埜 野
域 域誉
埠 埠
埴 埴
執 执
培 培
基 基拯
埼 崎
