一 一壹
武 武
歩 步
歪 歪
歯 齿
歳 岁
歴 历
歸 归皈
歹 歹
死 死
歿 殁
殀 夭
殃 殃
殄 殄
殆 殆
殉 殉徇
殊 殊
残 残
殍 殍莩
殖 殖
殘 残
殞 殒陨
殤 殇
殪 殪
殫 殚
殯 殡
殱 歼
殲 歼
殳 殳
殴 殴
段 段
殷 殷
殺 杀
殻 壳
殼 壳
殿 殿
毀 毁
毅 毅
毆 殴
毋 毋
母 母
毎 每
毒 毒
毓 毓育
比 比
毘 毗
毛 毛
毫 毫
毬 球
毯 毯
毳 毳
氈 毡
氏 氏
民 民
氓 氓
气 气
気 气
氛 氛
氣 气
氤 氤
水 水氵
氷 冰冫
永 永
氾 泛
汀 汀
汁 汁
求 求
汎 泛
汐 汐
汕 汕
汗 汗
汚 污
汝 汝
汞 汞
江 江
池 池
汨 汨汩
汪 汪
汰 汰
汲 汲
決 决
汽 汽
汾 汾
沁 沁
沂 沂
沃 沃
沈 沈沉渖
沌 沌
沍 冱
沐 沐
沒 没
沓 沓
沖 冲盅
沙 沙
沛 沛
没 没
沢 泽
沫 沫
沮 沮
沱 沱沲
河 河
沸 沸
油 油
治 治
沼 沼
沽 沽
沾 沾
沿 沿
況 况湟
泄 泄渫
泅 泅
泉 泉
泊 泊泺
泌 泌
泓 泓
法 法
泗 泗
泛 泛
泝 溯
泡 泡箔
波 波
泣 泣
泥 泥坭
注 注
泪 泪
泯 泯
泰 泰
泱 泱
泳 泳
洋 洋
洌 洌冽
洒 洒
洗 洗
洙 洙
洛 洛
洞 洞峒
洟 涕
津 津
洩 泄渫
洪 洪洚
洫 洫
洲 洲
洳 洳
洵 洵
洶 汹
活 活
洽 洽
派 派
流 流
浄 净
浅 浅
浙 浙
浚 浚
浜 浜滨
浣 浣
浦 浦
浩 浩
浪 浪
浬 里
浮 浮
浴 浴
海 海
浸 浸
浹 浃
涅 涅
消 消
涌 涌
涎 涎
涓 涓
涕 涕
涙 泪
涛 涛
涜 渎
涯 涯
液 液
涵 涵
涸 涸
涼 凉
淀 淀
淅 淅
淆 淆肴
淇 淇
淋 淋
淌 淌
淑 淑
淒 凄
淘 淘
淙 淙
淞 淞
淡 淡澹
淤 淤
淦 淦
淨 净
淪 沦
淫 淫
淬 淬
淮 淮
深 深
淳 淳
淵 渊
混 混
淹 淹
淺 浅
添 添
清 清
渇 渴
済 济
渉 涉
渊 渊
渋 涩
渓 溪
渕 渊
渙 涣
渚 渚
減 减
渝 渝
渠 渠
渡 渡
渣 渣
渤 渤
渥 渥
渦 涡
温 温
渫 渫泄
測 测
渭 渭
港 港
游 游
渺 渺
渾 浑
湃 湃
湊 凑
湍 湍
湎 湎
湖 湖
湘 湘
湛 湛
湟 湟况
湧 涌
湫 湫
湮 湮
湯 汤
湾 湾
湿 湿
満 满
溌 泼
溏 溏
源 源
準 准淮
溘 溘
溜 溜
溝 沟
溟 溟
溢 溢
溥 溥
溪 溪
溯 溯
溲 溲
溶 溶
溷 溷
溺 溺尿
溽 溽缛
滂 滂
滄 沧
滅 灭
滋 滋
滌 涤
滑 滑
滓 滓
滔 滔
滕 滕
滝 泷
滞 滞
滬 沪
滯 滞
滲 渗
滴 滴
滷 卤
滸 浒
滾 滚菌
滿 满
漁 渔
漂 漂
漆 漆柒
漉 漉
漏 漏
漑 溉
漓 漓
演 演
漕 漕
漠 漠
漢 汉
漣 涟
漫 漫
漬 渍
漱 漱
漲 涨
漸 渐
漾 漾
漿 浆
潁 颍
潅 灌
潔 洁
潘 潘
潛 潜
潜 潜
潟 泻
潤 润
潦 潦涝
潭 潭
潮 潮
潯 浔
潰 溃
潴 潴
潸 潸
潺 潺
潼 潼
澀 涩
澁 涩
澂 澄
澄 澄
澆 浇
澎 澎
澑 溜
澗 涧
澡 澡
澣 浣
澤 泽
澱 淀
澳 澳袄
澹 澹淡
激 激
濁 浊
濂 濂
濃 浓
濕 湿
濘 泞
濛 蒙
濟 济
濠 濠
濡 濡
濤 涛
濫 滥
濬 浚
濮 濮
濯 濯
濱 滨浜濒
濳 潜
濶 阔
濺 溅
濾 滤沪
瀁 漾
瀉 泻
瀋 沈渖沉
瀏 浏
瀑 瀑
瀕 濒滨
瀘 泸
瀚 瀚
瀛 瀛
瀝 沥
瀟 潇
瀦 潴
瀧 泷
瀬 濑
瀰 弥
瀲 潋
瀾 澜
灌 灌
灑 洒
灘 滩
灣 湾
火 火灬
灯 灯
灰 灰
灸 灸
灼 灼
災 灾
炉 炉
炊 炊
炎 炎
炒 炒
炙 炙
炬 炬
炭 炭
炮 炮
炯 炯
炳 炳
炸 炸
点 点
為 为
烈 烈
烏 乌
烙 烙
烝 蒸
烟 烟完菸
烱 炯
烹 烹
烽 烽
焉 焉
焔 焰
焙 焙
焚 焚
無 无
焦 焦
然 然
焼 烧
煉 炼
煌 煌
煎 煎
煕 熙
煖 暖娠
煙 烟完菸
煢 茕
煤 煤
煥 焕
煦 煦
照 照
煩 烦
煬 炀烊
煮 煮
煽 煽
熄 熄
熈 熙
熊 熊
熏 熏
熔 熔
熙 熙
熟 熟
熨 熨尉
熬 熬
熱 热
熹 熹
熾 炽
燃 燃
燈 灯
燉 炖
燎 燎
燐 磷
燒 烧箫
燔 燔
燕 燕
燗 烂
營 营
燠 燠
燥 燥
燦 灿
燧 燧
燬 毁
燭 烛
燮 燮
燹 燹
燻 熏
燼 烬
燿 曜耀
爆 爆
爍 烁铄
爐 炉
爛 烂
爨 爨
爪 爪
爬 爬
爭 争
爰 爰
爲 为
爵 爵
父 父
爺 爷
爻 爻
爼 俎
爽 爽
爾 尔
爿 爿丬
牀 床
牆 墙
片 片
版 版板
牋 笺
牌 牌
牒 牒
牘 牍
牙 牙
牛 牛
牝 牝
牟 牟
牡 牡
牢 牢
牧 牧
物 物
牲 牲
牴 抵
特 特
牽 牵
牾 牾
犀 犀
犁 犁
犂 犁
犇 奔
犒 犒
犖 荦
犠 牺
犢 犊
犧 牺
犬 犬犭
犯 犯
犲 豺
状 状
犹 犹
狂 狂
狃 狃
狄 狄
狎 狎
狐 狐
狒 狒
狗 狗
狙 狙
狠 狠
狡 狡
狢 貉
狩 狩
独 独
狭 狭
狷 狷
狸 狸
狹 狭
狼 狼
狽 狈
猊 猊
猖 猖
猗 猗欹
猛 猛
猜 猜
猝 猝
猟 猎
猥 猥
猩 猩
猪 猪
猫 猫
献 献
猴 猴
猶 犹
猷 猷
猾 猾狯
猿 猿
獄 狱
獅 狮
獎 奖
獏 貘
獗 獗
獣 兽
獨 独
獪 狯猾
獰 狞
獲 获
獵 猎
獸 兽
獺 獭
獻 献
玄 玄
率 率
玉 玉
王 王
玖 玖九
玩 玩
玲 玲
玳 玳
玻 玻
珀 珀
珂 珂
珈 珈
珊 珊
珍 珍
珎 珍
珞 珞
珠 珠
珥 珥
珪 圭
班 班
珮 佩
珱 璎
現 现
球 球
琅 琅
理 理
琉 琉
琢 琢
琥 琥
琳 琳
琴 琴
琵 琵
琶 琶
琺 珐
琿 珲
瑁 瑁
瑕 瑕
瑙 瑙
瑚 瑚
瑛 瑛
瑜 瑜
瑞 瑞
瑟 瑟
瑠 琉
瑣 琐
瑤 瑶
瑩 莹
瑪 玛
瑯 琅
瑰 瑰
瑶 瑶
瑾 瑾
璃 璃
璋 璋
璞 璞
璢 琉
璧 璧
環 环
璽 玺
瓊 琼
瓏 珑
瓔 璎
瓜 瓜
瓠 瓠
瓢 瓢
瓣 瓣弁
瓦 瓦
瓮 瓮
瓶 瓶
瓷 瓷磁
甄 甄
甌 瓯
甍 甍
甎 砖
甑 甑
甓 甓
甕 瓮
甘 甘
甚 甚什
甜 甜
甞 尝
生 生
産 产
甥 甥
甦 苏稣
用 用
甫 甫
甬 甬
田 田
由 由
甲 甲
申 申
男 男
甸 甸
町 町
画 画划
甼 町
畄 留
畆 亩
畊 耕
畋 畋
界 界
畍 界
畏 畏
畔 畔
留 留
畚 畚
畛 畛
畜 畜
畝 亩
畢 毕
略 略
畦 畦
畧 略
番 番蹯
畫 划画
畭 畲
異 异
畳 叠
畴 畴
當 当
畸 畸
畿 畿
疂 叠
疆 疆将
疇 畴
疉 叠
疊 叠
疋 疋匹
疎 疏
疏 疏
疑 疑
疔 疔
疚 疚
疝 疝
疣 疣
疥 疥
疫 疫
疱 疱
疲 疲
疳 疳
疵 疵
疸 疸瘅
疹 疹胗
疼 疼
疽 疽
疾 疾
痂 痂
痃 痃
病 病
症 症
痊 痊
痍 痍
痒 痒
痔 痔
痕 痕
痘 痘
痙 痉
痛 痛
痞 痞
痢 痢
痣 痣
痩 瘦
痰 痰
痲 麻
痳 麻
痴 痴
痺 痹
痼 痼
痾 疴
痿 痿
瘁 瘁
瘉 愈
瘋 疯
瘍 疡
瘟 瘟
瘠 瘠
瘡 疮
瘢 瘢
瘤 瘤
瘧 疟弄
瘰 瘰
瘴 瘴
瘻 瘘
療 疗
癆 痨
癇 痫
癌 癌
癒 愈
癖 癖
癘 疠
癜 癜
癡 痴
癢 痒
癧 疬
癨 霍
癩 癞
癬 癣
癰 痈
癲 癫
癸 癸
発 发
登 登
發 发
白 白
百 百佰
皃 貌
的 的
皆 皆
皇 皇
皈 皈归
皋 皋睾
皎 皎
皐 皋睾
皓 皓颢
皖 皖
皙 皙
皚 皑
皮 皮
皰 疱
皴 皴
皷 鼓
皸 皲
皹 皲
皺 皱绉
皿 皿
盂 盂
盃 杯
盆 盆
盈 盈
益 益
盍 盍
盒 盒
盖 盖
盗 盗
盛 盛
盜 盗
盞 盏
盟 盟
盡 尽
監 监
盤 盘
盥 盥
盧 卢
盪 荡
目 目
盲 盲
直 直
相 相
盾 盾
省 省
眄 眄
眇 眇缈
眈 眈
眉 眉
看 看
県 县
眞 真
真 真
眠 眠缗
眥 眦
眦 眦
眩 眩
眷 眷
眸 眸
眺 眺
眼 眼
着 着著
睇 睇
睚 睚
睛 睛
睡 睡
督 督
睥 睥
睦 睦
睨 睨
睫 睫
睹 睹
睾 睾皋
睿 睿
瞎 瞎
瞑 瞑
瞞 瞒
瞠 瞠瞪
瞥 瞥苤
瞬 瞬
瞭 了
瞰 瞰
瞳 瞳
瞹 暧
瞻 瞻
瞼 睑
瞽 瞽
瞿 瞿
矇 蒙朦
矍 矍
矗 矗
矚 瞩
矛 矛
矜 矜
矢 矢
矣 矣
知 知
矧 矧
矩 矩榘
短 短
矮 矮
矯 矫
石 石
砂 砂
砌 砌纤
砒 砒
研 研硎
砕 碎
砥 砥
砦 砦寨
砧 砧
砲 炮
破 破
砺 砺
砿 矿
硅 硅矽
硝 硝
硫 硫
硬 硬应
硯 砚
硼 硼
碁 棋
碇 碇
碌 碌
碍 碍
碎 碎
碑 碑
碓 碓
碕 崎
碗 碗
碚 碚
碣 碣
碧 碧
碩 硕
碪 砧
碯 瑙
確 确
碼 码
碾 碾
磁 磁瓷
磅 磅
磆 滑
磊 磊
磋 磋
磐 磐
磔 磔
磚 砖
磧 碛
磨 磨
磬 磬
磯 矶
磴 磴嶝
磽 硗
礁 礁
礎 础
礙 碍
礦 矿
礪 砺
礫 砾
礬 矾
示 示礻
礼 礼
社 社
祀 祀
祁 祁
祇 只
祈 祈
祉 祉
祐 佑
祓 祓
祕 秘
祖 祖
祗 祗只
祚 祚
祝 祝
神 神
祟 祟
祠 祠
祢 祢
祥 祥
票 票
祭 祭
祷 祷
祺 祺
祿 禄
禀 禀
禁 禁
禄 禄
禅 禅单
禊 禊
禍 祸
禎 祯
福 福
禦 御
禧 禧
禪 禅单
禮 礼
禰 祢
禳 禳
禹 禹
禺 禺
禽 禽
禾 禾
禿 秃
秀 秀
私 私厶
秉 秉拼
秋 秋
科 科
秒 秒
秕 秕
秘 秘
租 租
秣 秣
秤 秤称
秦 秦
秧 秧
秩 秩
称 称
移 移
稀 稀希
稈 秆
程 程
稍 稍
税 税
稔 稔
稗 稗
稚 稚
稜 棱楞
稟 禀廪
稠 稠
種 种
稱 称秤
稲 稻
稷 稷
稻 稻
稼 稼
稽 稽乩
稾 稿藁
稿 稿藁
穀 谷
穂 穗
穆 穆
穉 稚
積 积
穎 颖署
穏 稳
穐 秋
穗 穗
穡 穑
穢 秽
穣 穰
穩 稳文
穫 获
穰 穰
穴 穴
究 究
穹 穹
空 空
穽 阱
穿 穿
突 突
窃 窃
窄 窄
窈 窈
窒 窒
窓 窗
窕 窕阿
窖 窖
窗 窗
窘 窘
窟 窟
窩 窝
窪 洼
窮 穷
窯 窑
窰 窑
窶 窭
窺 窥
窿 窿
竃 灶
竄 窜
竅 窍
竇 窦
竈 灶
竊 窃
立 立
竒 奇
站 站
竚 伫
竜 龙
竝 并
竟 竟
章 章
竢 俟
竣 竣
童 童
竦 竦
竪 竖
竭 竭
端 端
競 竞
竸 竞
竹 竹
竺 竺
竿 竿
笄 笄
笆 笆巴
笈 笈
笊 笊
笋 笋
笏 笏
笑 笑
笙 笙
笛 笛
笞 笞
笠 笠
笥 笥
符 符
笨 笨
第 第
笳 笳
笵 范
笶 矢
筅 筅
筆 笔
等 等
筋 筋
筌 筌
筍 笋
筏 筏
筐 筐
筑 筑
筒 筒
答 答
策 策
筝 筝
筧 笕
筮 筮
筱 筱
筵 筵
筺 筐
箆 篦
箇 个
箋 笺
箍 箍
箏 筝
箒 帚
箔 箔泡
箕 箕
算 算
箜 箜
箝 箝钳
管 管
箪 箪
箭 箭
箱 箱
箴 箴针
箸 箸
節 节樽卩
篁 篁
範 范
篆 篆
篇 篇
築 筑
篋 箧
篌 篌
篏 嵌
篝 篝
篠 筱
篤 笃
篥 篥
篦 篦
篩 筛
篭 笼
篳 筚
篷 篷
簀 箦
簇 簇
簍 篓
簑 蓑
簒 篡
簔 蓑
簟 簟
簡 简耕
簣 篑蒉
簧 簧
簪 簪
簫 箫烧
簷 檐
簸 簸
簽 签
簾 帘
簿 簿
籀 籀
籃 篮
籌 筹
籍 籍
籏 旗
籐 藤
籔 薮
籖 签
籘 藤
籟 籁
籠 笼
籤 签
籥 龠
籬 篱
米 米
粃 秕
粉 粉
粋 粹
粒 粒
粕 粕
粗 粗
粘 粘黏
粛 肃
粟 粟
粢 粢
粤 粤
粥 粥鬻
粧 妆
粫 糯
粮 粮
粱 粱
粲 粲
粳 粳
粹 粹
粽 粽
精 精
糅 糅
糊 糊胡
糖 糖
糜 糜
糞 粪
糟 糟
糠 糠
糢 馍
糧 粮
糯 糯
糲 粝
糴 籴
糶 粜条
糸 糸丝
糺 纠
系 系
糾 纠
紀 纪
紂 纣
約 约
紅 红
紆 纡
紊 紊
紋 纹
納 纳
紐 纽
純 纯
紕 纰
紗 纱
紙 纸
級 级
紛 纷
紜 纭
素 素
紡 纺
索 索
紫 紫
紬 绸
紮 扎
累 累
細 细
紲 绁
紳 绅
紹 绍
紺 绀
紿 绐
終 终
絃 弦
組 组
絆 绊
絋 纩
経 经
絎 绗
絏 绁
結 结揭
絖 纩
絛 绦
絞 绞
絡 络
絢 绚
絣 背
給 给
絨 绒
絮 絮
統 统
絲 丝纟糸
絳 绛绦
絵 绘
絶 绝
絹 绢
綉 绣
綏 绥
經 经
継 继
続 续
綜 综
綢 绸
綣 绻
綫 线
綬 绶
維 维
綮 綮
綯 裤
綰 绾
綱 纲
網 网
綴 缀
綵 彩
綸 纶
綺 绮
綻 绽
綽 绰
綾 绫
綿 绵
緇 缁
緊 紧
緋 绯
総 总
緑 绿
緒 绪
緘 缄
線 线
緜 绵
緝 缉
緞 缎
締 缔
緡 缗眠
緤 绁
編 编
緩 缓
緬 缅
緯 纬
緲 缈眇
練 练
緻 致
縁 缘
縄 绳
縉 缙
縊 缢
縋 缒
縛 缚
縞 缟
縟 缛溽
縣 县
縦 纵
縫 缝
縮 缩
縱 纵
縲 缧累
縵 缦
縷 缕
縹 缥
縻 縻
總 总
績 绩
繁 繁
繃 绷
繆 缪
繊 纤
繋 系
繍 绣
織 织
繕 缮
繖 伞
繙 翻
繚 缭
繞 绕
繦 襁
繩 绳
繪 绘缋
繭 茧
繰 缲缫
繹 绎
繼 继
繽 缤
繿 褴
纂 纂
纈 缬
纉 缵
續 续
纎 纤
纏 缠
纒 缠
纓 缨
纔 才
纖 纤砌
纛 纛
纜 缆
缶 缶罐
缸 缸
缺 缺欠
罅 罅
罌 罂
罐 罐缶
网 网罔
罔 罔网
罕 罕
罘 罘
罟 罟
罨 罨
罩 罩
罪 罪
置 置
罰 罚
署 署颖
罵 骂
罷 罢
罸 罚
罹 罹
羃 幂
羅 罗
羆 罴
羇 羁
羈 羁
羊 羊
羌 羌
美 美
羔 羔
羚 羚
羝 羝
羞 羞
羣 群
群 群
羨 羡
義 义
羮 羹
羯 羯
羲 羲
羶 膻
羸 羸
羹 羹
羽 羽
翁 翁
翅 翅
翆 翠
翊 翊
翌 翌
習 习
翔 翔
翕 翕
翠 翠
翡 翡
翦 翦剪
翩 翩
翰 翰
翳 翳影
翹 翘
翻 翻
翼 翼折
耀 耀曜
老 老
考 考
耄 耄
者 者
耆 耆
耋 耋
而 而
耐 耐
耒 耒来
耕 耕简
耗 耗
耘 耘
耙 耙钯
耜 耜
耡 锄
耨 耨
耳 耳
耶 耶
耻 耻
耽 耽
耿 耿炅
聆 聆
聊 聊
聒 聒
聖 圣垩
聘 聘
聚 聚
聞 闻
聟 婿
聡 聪
聨 联
聯 联
聰 聪
聲 声
聳 耸
聴 听
聶 聂
職 职
聹 聍
聽 听
聾 聋
聿 聿肀
肄 肄
肅 肃
肆 肆四
肇 肇
肉 肉
肋 肋
肌 肌
肓 肓
肖 肖
肘 肘
肚 肚
肛 肛
肝 肝
股 股
肢 肢
肥 肥
肩 肩
肪 肪
肬 疣
肭 肭
肯 肯
肱 肱
育 育毓
肴 肴
肺 肺
胃 胃
胄 胄
胆 胆
背 背
胎 胎
胖 胖
胙 胙
胚 胚
胛 胛
胝 胝郅
胞 胞脬
胡 胡
胤 胤
胥 胥
胯 胯
胱 胱
胴 胴
胸 胸匈
胼 胼
能 能
脂 脂
脅 胁勰
脆 脆
脇 胁
脈 脉
脉 脉
脊 脊
脚 脚
脛 胫
脣 唇
脩 修
脯 脯
脱 脱
脳 脑
脹 胀
脾 脾
腆 腆
腋 腋
腎 肾
腐 腐
腑 腑
腓 腓
腔 腔
腕 腕
腟 膣
腥 腥
腦 脑
腫 肿
腮 腮鳃
腰 腰
腱 腱
腴 腴
腸 肠
腹 腹
腺 腺
腿 腿
膀 膀
膂 膂
膃 腽
膈 膈
膊 膊
膏 膏
膓 肠
膚 肤
膜 膜
膝 膝
膠 胶
膣 膣
膨 膨
膩 腻
膳 膳
膸 髓
膺 膺
膽 胆
膾 脍
膿 脓
臀 臀
臂 臂
臆 臆
臈 腊
臉 脸
臍 脐
臓 脏
臘 腊
臙 胭
臚 胪
臟 脏
臠 脔
臣 臣
臥 卧
臧 臧
臨 临
自 自
臭 臭
至 至
致 致
臺 台
臻 臻
臼 臼
臾 臾
舁 舁
舂 舂
舅 舅
與 与
興 兴
舉 举
舊 旧
舌 舌
舍 舍
舎 舍
舐 舐
舒 舒
舖 铺
舗 铺
舘 馆
舛 舛
舜 舜
舞 舞
舟 舟
舩 船
航 航桁
舫 舫
般 般
舮 橹舻
舳 舳
舵 舵柁
舶 舶
舷 舷
舸 舸
船 船舡
艇 艇
艘 艘
艙 舱
艚 艚
艟 艟
艢 樯
艤 舣
艦 舰
艨 艨
艪 橹
艫 舻橹
艮 艮
良 良
艱 艰
色 色
艶 艳
艷 艳
艸 草艹
艾 艾
芋 芋
芍 芍
芒 芒
芙 芙
芝 芝
芟 芟
芥 芥
芦 芦
芫 芫
芬 芬
芭 芭巴
芯 芯
花 花
芳 芳
芸 芸艺
芹 芹
芻 刍
芽 芽
苅 刈
苑 苑菀
苒 苒
苓 苓
苔 苔薹
苗 苗
苛 苛哼
苜 苜
苞 苞
苟 苟
苡 苡
苣 苣
若 若
苦 苦
苧 苎
苫 苫
英 英
苴 苴
苹 苹
苺 莓
苻 苻
茂 茂
范 范
茄 茄
茅 茅泖
茆 茆茅
茉 茉
茎 茎
茗 茗
茘 荔
茜 茜芊
茨 茨
茫 茫
茯 茯
茱 茱
茲 兹
茴 茴
茵 茵
茶 茶
茸 茸
茹 茹
荀 荀
荅 答
草 草艹
荊 荆
荏 荏
荐 荐
荒 荒
荘 庄
荳 豆
荷 荷
荻 荻
荼 荼
莅 莅
莉 莉
莊 庄
莎 莎
莓 莓
莖 茎
莞 莞
莠 莠
莢 荚
莨 莨
莪 莪
莫 莫
莱 莱
莵 菟兔
莽 莽
菁 菁
菅 菅
菊 菊
菌 菌蕈滚
菓 果
菖 菖
菘 菘
菜 菜
菟 菟兔
菠 菠
菩 菩
菫 堇
華 华
菰 菰菇
菱 菱
菲 菲
菴 庵
菷 帚
菻 麻
菽 菽
萃 萃
萄 萄
萇 苌
萋 萋
萌 萌
萍 萍
萎 萎荽
萠 萌
萬 万
萱 萱
萵 莴
萸 萸
萼 萼
落 落
葆 葆
葉 叶
著 著着螫
葛 葛
葡 葡
葢 盖
董 董
葦 苇
葩 葩
葫 葫胡
葬 葬
葭 葭
葯 药
葱 葱
葵 葵
葷 荤
葺 葺
蒂 蒂
蒋 蒋
蒔 莳
蒙 蒙
蒜 蒜
蒡 蒡
蒭 刍
蒲 蒲莆
蒸 蒸
蒹 蒹
蒼 苍
蒿 蒿
蓁 蓁
蓄 蓄
蓆 席
蓉 蓉
蓊 蓊
蓋 盖
蓍 蓍
蓐 蓐
蓑 蓑
蓖 蓖芘萆
蓬 蓬
蓮 莲
蓴 莼
蓼 蓼
蓿 蓿
蔆 菱
蔑 蔑
蔓 蔓
蔔 卜菔
蔕 蒂
蔗 蔗本
蔚 蔚
蔟 蔟
蔡 蔡
蔦 茑
蔬 蔬
蔭 荫
蔵 藏
蔽 蔽芘
蕁 荨
蕃 蕃
蕈 蕈菌
蕉 蕉
蕊 蕊
蕋 蕊
蕎 荞
蕕 莸
蕘 荛
蕚 萼
蕨 蕨
蕩 荡
蕪 芜
蕭 萧
蕷 蓣
蕾 蕾
薀 蕴
薄 薄
薇 薇
薈 荟
薊 蓟
薑 姜
薔 蔷
薗 园
薙 剃
薛 薛
薜 薜
薤 薤
薦 荐
薨 薨
薩 萨
薪 薪
薫 薰
薬 药
薮 薮
薯 薯
薹 薹苔
薺 荠
藁 藁稿
藉 藉借
藍 蓝
藏 藏
藐 藐
藕 藕
藜 藜
藝 艺芸
藤 藤
藥 药
藩 藩
藪 薮
藷 薯
藹 蔼
藺 蔺
藻 藻
蘂 蕊
蘆 芦
蘇 苏
蘊 蕴
蘋 苹
蘓 苏
蘖 蘖檗
蘗 蘖檗
蘚 藓
蘢 茏
蘭 兰
蘯 荡
蘿 萝
虍 虍
虎 虎
虐 虐乇
虔 虔
處 处
虚 虚
虜 虏掳
虞 虞
號 号
虧 亏
虫 虫
虱 虱
虹 虹
虻 虻
蚊 蚊
蚋 蚋
蚌 蚌
蚓 蚓
蚕 蚕
蚣 蚣
蚤 蚤
蚩 蚩
蚪 蚪虬
蚯 蚯
蚰 蚰
蚶 蚶
蛄 蛄
蛆 蛆
蛇 蛇
蛉 蛉
蛋 蛋旦
蛍 萤
蛎 蛎
蛔 蛔
蛙 蛙
蛛 蛛
蛞 蛞
蛟 蛟
蛤 蛤
蛩 蛩
蛭 蛭
蛮 蛮
蛸 蛸
蛹 蛹
蛻 蜕
蛾 蛾
蜀 蜀
蜂 蜂
蜃 蜃
蜆 蚬
蜈 蜈
蜉 蜉
蜊 蜊
蜍 蜍
蜑 蛋
蜒 蜒
蜘 蜘
蜚 蜚
蜜 蜜
蜥 蜥
蜩 蜩
蜴 蜴
蜷 蜷
蜻 蜻
蜿 蜿
蝉 蝉
蝋 蜡
蝌 蝌
蝎 蝎
蝓 蝓
蝕 蚀
蝗 蝗
蝙 蝙
蝟 猬
蝠 蝠
蝣 蝣
蝦 虾
蝨 虱
蝮 蝮
蝴 蝴胡
蝶 蝶
蝸 蜗
蝿 蝇
螂 螂
融 融
螟 螟
螢 萤
螫 螫著着
螯 螯
螳 螳螗
螺 螺蠃
螻 蝼
螽 螽
蟀 蟀
蟄 蛰
蟆 蟆
蟇 蟆
蟋 蟋
蟒 蟒
蟠 蟠
蟯 蛲
蟲 虫
蟶 蛏
蟷 螳
蟹 蟹
蟻 蚁
蟾 蟾
蠅 蝇
蠍 蝎
蠎 蟒
蠏 蟹
蠑 蝾
蠕 蠕
蠖 蠖
蠡 蠡
蠢 蠢
蠣 蛎
蠧 蠹
蠱 蛊
蠶 蚕
蠹 蠹
蠻 蛮
血 血
衂 衄
衄 衄
衆 众
行 行
衍 衍
衒 炫
術 术
街 街亍
衙 衙
衛 卫
衝 冲
衞 卫
衡 衡
衢 衢
衣 衣衤
表 表
衫 衫
衰 衰
衲 衲
衷 衷
衽 衽
衾 衾
衿 衿襟
袁 袁
袂 袂
袈 袈
袋 袋
袍 袍
袒 袒
袖 袖
袞 衮
袢 袢
袤 袤
被 被
袱 袱
袴 裤
袵 衽
袷 袷
裁 裁
裂 裂
装 装
裏 里裹
裔 裔
裕 裕
裘 裘
裙 裙
補 补
裝 装
裟 裟
裡 里
裨 裨
裳 裳
裴 裴
裸 裸
裹 裹
裼 裼
製 制
裾 裾
褂 褂
複 复
褊 褊
褐 褐
褒 褒
褓 褓褴
褥 褥
褪 褪
褫 褫
褶 褶
褸 褛蒌
褻 亵
襁 襁
襃 褒
襄 襄
襍 杂
襖 袄澳
襞 襞
襟 襟衿
襠 裆
襤 褴
襦 襦
襪 袜
襯 衬
襲 袭
襾 西
西 西
要 要
覃 覃
覆 覆复
覇 霸
覈 核
覊 羁
見 见
規 规
覓 觅
視 视
覘 觇
覚 觉
覡 觋
覦 觎
覧 览
覩 睹
親 亲
覬 觊
覯 觏
覲 觐
観 观
覺 觉
覽 览
覿 觌
觀 观
角 角
觚 觚
觜 觜咀嘴
解 解
触 触
觧 解
觴 觞
觸 触
言 言
訂 订
訃 讣
計 计
訊 讯
訌 讧
討 讨
訐 讦
訓 训
訖 讫
託 托
記 记
訛 讹
訝 讶
訟 讼
訣 诀
訥 讷呐
訪 访
設 设
許 许
訳 译
訴 诉
訶 诃呵
診 诊
註 注
証 证
詁 诂
詆 诋
詈 詈
詐 诈
詒 诒
詔 诏
評 评
詛 诅
詞 词
詠 咏
詢 询
詣 诣
試 试
詩 诗
詫 诧
詬 诟
詭 诡
詮 诠
詰 诘
話 话
該 该
詳 详
詼 诙
誄 诔
誅 诛
誇 夸侉
誉 誉
誌 志
認 认
誑 诳
誓 誓
誕 诞
誘 诱
誚 诮谯
語 语
誠 诚
誡 诫
誣 诬
誤 误
誥 诰
誦 诵
誨 诲
説 说
読 读
誰 谁
課 课
誹 诽
誼 谊
調 调
諂 谄
諄 谆
談 谈谭
請 请
諌 谏
諍 诤
諏 诹
諒 谅
論 论
諛 谀
諜 谍
諞 谝
諠 喧
諡 谥
諢 诨
諤 谔
諦 谛
諧 谐
諫 谏
諭 谕
諮 谘咨
諱 讳
諳 谙
諷 讽
諸 诸
諺 谚
諾 诺
謀 谋
謁 谒
謂 谓
謄 誊
謇 謇
謌 歌
謎 谜
謐 谧
謔 谑
謖 谡
謗 谤
謙 谦
謚 谥
講 讲
謝 谢
謠 谣
謡 谣
謦 謦
謨 谟
謫 谪
謬 谬
謳 讴
謹 谨
謾 谩
譁 哗
證 证
譌 讹
譎 谲
譏 讥
譖 谮
識 识
譚 谭谈
譛 谮
譜 谱
譟 噪
警 警儆
譫 谵
譬 譬
譯 译
議 议
譱 善
譲 让
譴 谴
護 护
譽 誉域
讀 读
讃 赞
變 变
讌 宴燕
讎 雠仇
讐 仇雠
讒 谗
讓 让
讖 谶
讙 欢
讚 赞
谷 谷
谿 溪
豁 豁
豆 豆
豈 岂
豊 丰
