一 一壹弌
沸 沸
油 油
治 治
沼 沼
沽 沽
沾 沾霑
沿 沿
泄 泄渫洩
泅 泅
泉 泉
泊 泊
泌 泌
泓 泓
法 法
泖 茅
泗 泗
泛 泛氾汎
泞 濘
泡 泡箔
波 波
泣 泣
泥 泥
注 注註
泪 泪涙
泯 泯
泰 泰
泱 泱
泳 泳
泷 瀧滝
泸 瀘
泺 泊
泻 潟瀉
泼 溌
泽 澤沢
洁 潔
洋 洋
洌 冽洌
洒 洒灑
洗 洗
洙 洙
洚 洪
洛 洛
洞 洞
津 津
洪 洪
洫 洫
洲 洲
洳 洳
洵 洵
活 活
洼 窪
洽 洽
派 派
流 流
浃 浹
浅 淺浅
浆 漿
浇 澆
浊 濁
测 測
济 濟済
浏 瀏嚠
浑 渾
浒 滸
浓 濃
浔 潯
浙 浙
浚 浚濬
浜 濱浜
浣 浣澣
浦 浦
浩 浩
浪 浪
浮 浮
浴 浴
海 海
浸 浸
涂 塗
涅 涅
消 消
涉 渉
涌 涌湧
涎 涎
涓 涓
涕 涕洟
涛 濤涛
涝 潦
涟 漣
涡 渦
涣 渙
涤 滌
润 潤
涧 澗
涨 漲
涩 澀渋澁
涯 涯
液 液
涵 涵
涸 涸凅
淀 淀澱
淅 淅
淆 淆
淇 淇
淋 淋
淌 淌
淑 淑
淘 淘
淙 淙
淞 淞
淡 淡澹
淤 淤
淦 淦
淫 淫婬
淬 淬
淮 准淮準
深 深
淳 淳
混 混
淹 淹
添 添
清 清
渊 淵渊渕
渍 漬
渎 涜
渐 漸
渔 漁
渖 沈瀋
渗 滲
渚 渚
渝 渝
渠 渠
渡 渡
渣 渣
渤 渤
渥 渥
温 温
渫 泄渫洩
渭 渭
港 港
渴 渇
游 游遊
渺 渺
湃 湃
湍 湍
湎 湎
湖 湖
湘 湘
湛 湛
湟 湟況
湫 湫
湮 湮
湾 灣湾
湿 濕湿
溃 潰
溅 濺
溉 漑
溏 溏
源 源
溘 溘
溜 溜澑霤
溟 溟
溢 溢
溥 溥
溪 溪谿渓
溯 溯泝遡
溲 溲
溶 溶
溷 溷
溺 尿溺
溽 溽縟
滂 滂
滋 滋
滑 滑磆
滓 滓
滔 滔
滕 滕
滚 菌滾
滞 滯滞
满 滿満
滤 濾
滥 濫
滦 欒
滨 濱瀕浜
滩 灘
滴 滴
漂 漂
漆 七漆
漉 漉
漏 漏
漓 漓
演 演
漕 漕
漠 漠
漫 漫
漱 漱
漾 漾瀁
潇 瀟
潋 瀲
潘 潘
潜 潛潜濳
潦 潦
潭 潭
潮 潮
潴 瀦潴
潸 潸
潺 潺
潼 潼
澄 澄澂
澈 徹
澎 澎
澜 瀾
澡 澡
澳 澳襖
澹 淡澹
激 激
濂 濂
濑 瀬
濒 濱瀕
濠 濠
濡 濡
濮 濮
濯 濯
瀑 瀑
瀚 瀚
瀛 瀛
灌 灌潅
火 火
灬 火
灭 滅
灯 燈灯
灰 灰
灵 靈霊
灶 竃竈
灸 灸
灼 灼
灾 災
灿 燦
炀 煬
炅 耿
炉 爐炉
炊 炊
炎 炎
炒 炒
炖 燉
炙 炙
炫 衒
炬 炬
炭 炭
炮 炮砲
炯 炯烱
炳 炳
炸 炸
点 點点
炼 煉錬
炽 熾
烁 爍鑠
烂 爛燗
烈 烈
烊 煬
烙 烙
烛 燭
烟 完煙烟
烦 煩
烧 燒簫焼
烬 燼
热 熱
烹 烹
烽 烽
焉 焉
焕 煥
焙 焙
焚 焚
焦 焦
焰 焔
然 然
煅 鍛
煌 煌
煎 煎
煤 煤
煦 煦
照 照
煮 煮
煽 扇煽
熄 熄
熊 熊
熏 熏燻
熔 熔鎔
熙 熙煕熈
熟 熟
熨 尉熨
熬 熬
熹 熹
燃 燃
燎 燎
燔 燔
燕 燕讌
燠 燠
燥 燥
燧 燧
燮 燮
燹 燹
爆 爆
爨 爨
爪 爪
爬 爬
爰 爰
爱 愛
爵 爵
父 父
爷 爺
爻 爻
爽 爽
爿 爿
片 片
版 板版
牌 牌
牍 牘
牒 牒
牙 牙
牛 牛
牝 牝
牟 牟
牡 牡
牢 牢
牧 牧
物 物
牲 牲
牵 牽
特 特
牺 犧犠
牾 牾
犀 犀
犁 犁犂
犊 犢
犒 犒
犬 犬
犭 犬
犯 犯
状 状
犹 猶犹
狂 狂
狃 狃
狄 狄
狈 狽
狎 狎
狐 狐
狒 狒
狗 狗
狙 狙
狞 獰
狠 狠
狡 狡
狩 狩
独 獨独
狭 狹陜狭
狮 獅
狯 猾獪
狱 獄
狷 狷
狸 狸貍
狼 狼
猊 猊貎
猎 獵猟
猖 猖
猗 欹猗
猛 猛
猜 猜
猝 猝
猥 猥
猩 猩
猪 豬猪
猫 猫
猬 蝟
献 獻献
猴 猴
猷 猷
猾 猾獪
猿 猿
獗 獗
獭 獺
玄 玄
率 率
玉 玉
王 王
玖 九玖
玛 瑪
玩 玩
环 環
现 現
玲 玲
玳 玳
玺 璽
玻 玻
珀 珀
珂 珂
珈 珈
珊 珊
珍 珍珎
珐 琺
珑 瓏
珞 珞
珠 珠
珥 珥
班 班
珲 琿
球 球毬
琅 琅瑯
理 理
琉 琉瑠璢
琐 瑣
琢 琢
琥 琥
琳 琳
琴 琴
琵 琵
琶 琶
琼 瓊
瑁 瑁
瑕 瑕
瑙 瑙碯
瑚 瑚
瑛 瑛
瑜 瑜
瑞 瑞
瑟 瑟
瑰 瑰
瑶 瑤瑶
瑾 瑾
璃 璃
璋 璋
璎 瓔珱
璞 璞
璧 璧
瓜 瓜
瓠 瓠
瓢 瓢
瓣 弁瓣辨
瓦 瓦
瓮 瓮甕
瓯 甌
瓶 瓶
瓷 瓷磁
甄 甄
甍 甍
甑 甑
甓 甓
甘 甘
甚 什甚
甜 甜
生 生
甥 甥
用 用
甫 甫
甬 甬
甯 寧
田 田
由 由
甲 甲
申 申
电 電
男 男
甸 甸
町 町甼
画 劃畫画
畅 昶暢
畋 畋
界 界堺畍
畏 畏
畔 畔
留 留畄
畚 畚
畛 畛
畜 畜
略 略畧
畦 畦
番 番
畲 畭
畴 疇畴
畸 畸
畿 畿
疆 疆
疋 匹疋
疏 疏疎
疑 疑
疔 疔
疗 療
疚 疚
疝 疝
疟 弄瘧
疠 癘
疡 瘍
疣 疣肬
疥 疥
疫 疫
疬 癧
疮 瘡
疯 瘋
疱 皰疱靤
疲 疲
疳 疳
疴 痾
疵 疵
疸 疸
疹 疹
疼 疼
疽 疽
疾 疾
痂 痂
痃 痃
病 病
症 症
痈 癰廱
痉 痙
痊 痊
痍 痍
痒 痒癢
痔 痔
痕 痕
痘 痘
痛 痛
痞 痞
痢 痢
痣 痣
痨 癆
痫 癇
痰 痰
痴 痴癡
痹 痺
痼 痼
痿 痿
瘁 瘁
瘅 疸
瘘 瘻
瘟 瘟
瘠 瘠
瘢 瘢
瘤 瘤
瘦 痩
瘰 瘰
瘴 瘴
癌 癌
癖 癖
癜 癜
癞 癩
癣 癬
癫 癲
癸 癸
登 登
白 白
百 佰百
的 的
皆 皆
皇 皇
皈 皈歸帰
皋 皋睾皐
皎 皎
皑 皚
皓 皓
皖 皖
皙 皙
皮 皮
皱 皺
皲 皸皹
皴 皴
皿 皿
盂 盂
盅 沖
盆 盆
盈 盈
益 益
盍 盍
盏 盞
盐 鹽塩
监 監鑑鑒
盒 盒
盖 蓋盖葢
盗 盜盗
盘 槃盤
盛 盛
盟 盟
盥 盥
目 目
盲 盲
直 直
相 相
盾 盾
省 省
眄 眄
眇 眇緲
眈 眈
眉 眉
看 看
真 真眞
眠 眠緡
眦 眥眦
眩 眩
眷 眷
眸 眸
眺 眺
眼 眼
着 著螫着
睇 睇
睑 瞼
睚 睚
睛 睛
睡 睡
督 督
睥 睥
睦 睦
睨 睨
睫 睫
睹 睹覩
睾 皋睾皐
睿 睿叡
瞎 瞎
瞑 瞑
瞒 瞞
瞠 瞠
瞥 瞥
瞩 矚
瞪 瞠
瞬 瞬
瞰 瞰
瞳 瞳
瞻 瞻
瞽 瞽
瞿 瞿
矍 矍
矗 矗
矛 矛
矜 矜
矢 矢笶
矣 矣
知 知
矧 矧
矩 矩
矫 矯
短 短
矮 矮
石 石
矶 磯
矽 硅
矾 礬
矿 礦砿鉱鑛
码 碼
砂 砂
砌 砌纖
砒 砒
研 研
砖 磚甎
砚 硯
砣 鉈
砥 砥
砦 寨砦
砧 砧碪
破 破
砺 礪砺
砾 礫
础 礎
硅 硅
硎 研
硕 碩
硗 磽
硝 硝
硫 硫
硬 硬應峺
确 確
硷 鹸
硼 硼
碇 碇
碌 碌
碍 礙碍
碎 碎砕
碑 碑
碓 碓
碗 碗椀
碚 碚
碛 磧
碣 碣
碥 扁
碧 碧
碱 鹸
碾 碾
磁 瓷磁
磅 磅
磊 磊
磋 磋
磐 磐
磔 磔
磨 磨
磬 磬
磴 嶝磴
磷 燐
磺 鉱
礁 礁
示 示
礻 示
礼 禮礼
社 社
祀 祀
祁 祁
祈 祈
祉 祉
祓 祓
祖 祖
祗 祗
祚 祚
祝 祝
神 神
祟 祟
祠 祠
祢 禰祢
祥 祥
票 票
祭 祭
祯 禎
祷 祷
祸 禍
祺 祺
禀 廩稟禀
禁 禁
禄 祿禄
禅 禪禅
禊 禊
福 福
禧 禧
禳 禳
禹 禹
禺 禺
离 離
禽 禽
禾 禾
秀 秀
私 私厶
秃 禿
秆 稈
秉 秉
秋 秋鞦穐龝
种 種
科 科
秒 秒
秕 秕粃
秘 秘祕
租 租
秣 秣
秤 秤稱
秦 秦
秧 秧
秩 秩
积 勣積
称 秤稱称
移 移
秽 穢
稀 希稀
程 程
稍 稍
税 税
稔 稔
稗 稗
稚 稚穉
稠 稠
稣 甦
稳 文穩穏
稷 稷
稻 稻稲
稼 稼
稽 稽
稿 稿稾藁
穆 穆
穑 穡
穗 穗穂
穰 穰穣
穴 穴
究 究
穷 窮
穹 穹
空 空
穿 穿
突 突
窃 竊窃
窄 窄
窈 窈
窍 竅
窑 窯窰
窒 窒
窕 窕
窖 窖
窗 窗窓
窘 窘
窜 竄
窝 窩
窟 窟
窥 窺
窦 竇
窭 窶
窿 窿
立 立
竖 豎竪
站 站
竞 競竸
竟 竟
章 章
竣 竣
童 童
竦 竦
竭 竭
端 端
竹 竹
竺 竺
竿 竿
笃 篤
笄 笄
笆 巴笆
笈 笈
笊 笊
笋 筍笋
笏 笏
笑 笑咲
笔 筆
笕 筧
笙 笙
笛 笛
笞 笞
笠 笠
笥 笥
符 符
笨 笨
第 第
笳 笳
笺 牋箋
笼 籠篭
筅 筅
等 等
筋 筋
筌 筌
筏 筏
筐 筐筺
筑 筑築
筒 筒
答 答荅
策 策
筚 篳
筛 篩
筝 箏筝
筮 筮
筱 筱篠
筵 筵
筹 籌
签 簽籤籖
简 耕簡
箍 箍
箔 泡箔
箕 箕
算 算
箜 箜
箝 箝鉗
管 管
箦 簀
箧 篋
箪 箪
箫 燒簫
箭 箭
箱 箱
箴 箴針鍼
箸 箸
篁 篁
篆 篆
篇 篇
篌 篌
篑 簣
篓 簍
篝 篝
篡 簒
篥 篥
篦 篦箆
篮 籃
篱 籬
篷 篷
簇 簇
簟 簟
簧 簧
簪 簪
簸 簸
簿 簿
籀 籀
籁 籟
籍 籍
米 米
籴 糴
类 類
粉 粉
粒 粒
粕 粕
粗 粗麁
粘 粘黏
粜 條糶
粝 糲
粟 粟
粢 粢
粤 粤
粥 粥鬻
粪 糞
粮 糧粮
粱 粱
粲 粲
粳 粳
粹 粹粋
粽 粽
精 精
糅 糅
糊 糊
糖 糖
糜 糜
糟 糟遭
糠 糠
糯 糯粫
糸 糸絲
系 系係繋
紊 紊
素 素
索 索
紧 緊
紫 紫
累 累縲
絮 絮
綮 綮
縻 縻
繁 繁
纂 纂
纛 纛
纟 絲
纠 糾糺
纡 紆
红 紅
纣 紂
纤 砌纖繊纎
约 約
级 級
纩 絖絋
纪 紀
纬 緯
纭 紜
纯 純
纰 紕
纱 紗
纲 綱
纳 納
纵 縱縦
纶 綸
纷 紛
纸 紙帋
纹 紋
纺 紡
纽 紐
线 線綫
绀 紺
绁 紲絏緤
练 練
组 組
绅 紳
细 細
织 織
终 終
绉 皺
绊 絆
绍 紹
绎 繹
经 經経
绐 紿
绒 絨
结 結
绕 繞遶
绗 絎
绘 繪絵
给 給
绚 絢
绛 絳
络 絡
绝 絶
绞 絞
统 統
绢 絹
绣 綉繍
绥 綏
绦 絛絳
继 繼継
绩 勣績
绪 緒
绫 綾
续 續続
绮 綺
绯 緋
绰 綽
绳 繩縄
维 維
绵 綿緜
绶 綬
绷 繃
绸 紬綢
绻 綣
综 綜
绽 綻
绾 綰
绿 緑
缀 綴
缁 緇
缄 緘
缅 緬
缆 纜
缈 眇緲
缉 緝
缋 繪
缎 緞
缒 縋
缓 緩
缔 締
缕 縷
编 編
缗 眠緡
缘 縁
缙 縉
缚 縛
缛 溽縟
缝 縫
缟 縞
缠 纏纒
缢 縊
缤 繽
缥 縹
缦 縵
缧 縲
缨 纓
缩 縮
缪 繆
缫 繰
缬 纈
缭 繚
缮 繕
缲 繰
缵 纉
缶 缶罐
缸 缸
缺 欠缺
罂 罌
罅 罅
罐 缶罐鑵
网 网罔網
罔 网罔
罕 罕
罗 羅
罘 罘
罚 罰罸
罟 罟
罢 罷
罨 罨
罩 罩
罪 罪
置 置
署 署穎
罴 羆
罹 罹
羁 羇羈覊
羊 羊
羌 羌
美 美
羔 羔
羚 羚
羝 羝
羞 羞
羡 羨
群 群羣
羯 羯
羲 羲
羸 羸
羹 羹羮
羽 羽
翁 翁
翅 翅
翊 翊
翌 翌
翔 翔
翕 翕
翘 翹
翠 翠翆
翡 翡
翦 剪翦
翩 翩
翰 翰
翳 翳
翻 翻繙飜
翼 折翼
耀 曜耀燿
老 老
考 考攷
耄 耄
者 者
耆 耆
耋 耋
而 而
耐 耐
耒 耒來
耕 耕簡畊
耗 耗
耘 耘
耙 耙
耜 耜
耨 耨
耳 耳
耶 耶
耸 聳
耻 恥耻
耽 耽
耿 耿
聂 聶
聆 聆
聊 聊
聋 聾
职 職
聍 聹
聒 聒
联 聯聨
聘 聘
聚 聚
聪 聰聡
聿 聿
肀 聿
肃 肅粛
肄 肄
肆 四肆
肇 肇
肉 肉宍
肋 肋
肌 肌
肓 肓
肖 肖
肘 肘
肚 肚
肛 肛
肝 肝
肠 腸膓
股 股
肢 肢
肤 膚
肥 肥
肩 肩
肪 肪
肭 肭
肯 肯
肱 肱
育 毓育
肴 淆肴
肺 肺
肾 腎
肿 腫
胀 脹
胁 脅脇
胃 胃
胄 胄冑
胆 膽胆
背 背絣
胎 胎
胖 胖
胗 疹
胙 胙
胚 胚
胛 胛
胜 勝
胝 胝
胞 胞
胡 糊胡葫蝴楜
胤 胤
胥 胥
胧 朧
胪 臚
胫 脛
胭 臙
胯 胯
胱 胱
胴 胴
胶 膠
胸 匈胸
胼 胼
能 能
脂 脂
脆 脆
脉 脈脉
脊 脊
脍 膾鱠
脏 臟臓
脐 臍
脑 腦脳
脓 膿
脔 臠
脚 脚
脬 胞
脯 脯
脱 脱
脸 臉
脾 脾
腆 腆
腊 臘臈
腋 腋
腐 腐
腑 腑
腓 腓
腔 腔
腕 腕
腥 腥
腭 齶
腮 腮鰓顋
腰 腰
腱 腱
腴 腴
腹 腹
腺 腺
腻 膩
腼 靦
腽 膃
腾 騰
腿 腿
膀 膀
膂 膂
膈 膈
膊 膊
膏 膏
膜 膜
膝 膝
膣 膣腟
膨 膨
膳 膳
膺 膺
膻 羶
臀 臀
臂 臂
臆 臆
臣 臣
臧 臧
自 自
臭 臭
至 至
致 致緻
臻 臻
臼 臼
臾 臾
舀 外
舁 舁
舂 舂
舅 舅
舆 輿
舌 舌
舍 舍捨舎
舐 舐
舒 舒
舛 舛
舜 舜
舞 舞
舟 舟
舡 船
舣 艤
航 桁航
舫 舫
般 般
舰 艦
舱 艙
舳 舳
舵 柁舵
舶 舶
舷 舷
舸 舸
船 船舩
舻 艫舮
艇 艇
艘 艘
艚 艚
艟 艟
艨 艨
艮 艮
良 良
艰 艱
色 色
艳 艷艶
艴 勃
艹 草艸
艺 芸藝
艽 韭
艾 艾
节 樽節卩
芊 茜
芋 芋
芍 芍
芒 芒
芘 蓖蔽
芙 芙
芜 蕪
芝 芝
芟 芟
芥 芥
芦 蘆芦
芫 芫
芬 芬
芭 芭
芯 芯
花 花
芳 芳
芸 芸藝
芹 芹
芽 芽
苇 葦
苌 萇
苍 蒼
苎 苧
苏 甦蘇蘓
苑 苑
苒 苒
苓 苓
苔 苔薹
苗 苗
苛 苛
苜 苜
苞 苞
苟 苟
苡 苡
苣 苣
苤 瞥
若 若
苦 苦
苫 苫
英 英
苴 苴
苹 苹蘋
苻 苻
茂 茂楙
范 范範笵
茄 茄
茅 茅茆
茆 茆
茈 柴
茉 茉
茎 莖茎
茏 蘢
茑 蔦
茔 塋
茕 煢
茗 茗
茜 茜
茧 繭
茨 茨
茫 茫
茭 椒
茯 茯
茱 茱
茴 茴
茵 茵
茶 茶
茸 茸
茹 茹
荀 荀
荆 荊
草 草艸
荏 荏
荐 荐薦
荒 荒
荔 茘
荚 莢
荛 蕘
荞 蕎
荟 薈
荠 薺
荡 盪蕩蘯
荣 榮栄
荤 葷
荦 犖
荨 蕁
荫 蔭
药 葯藥薬
荷 荷
荻 荻
荼 荼
荽 萎
莅 莅
莆 蒲
莉 莉
莎 莎
莓 莓苺
莞 莞
莠 莠
莨 莨
莩 殍
莪 莪
莫 莫
莱 莱
莲 蓮
莳 蒔
莴 萵
获 獲穫
莸 蕕
莹 瑩
莺 鶯鴬
莼 蓴
莽 莽
菀 苑
菁 菁
菅 菅
菇 菰
菊 菊
菌 菌蕈滾
菔 蔔
菖 菖
菘 菘
菜 菜
菟 兔菟兎莵
菠 菠
菩 菩
菰 菰
菱 菱蔆
菲 菲
菸 煙烟
菽 菽
萃 萃
萄 萄
萆 蓖
萋 萋
萌 萌萠
萍 萍
萎 萎
萝 蘿
萤 螢蛍
营 營営
萧 蕭
萨 薩
萱 萱
萸 萸
萼 萼蕚
落 落
葆 葆
著 著螫着
葚 椹
葛 葛
葡 葡
董 董
葩 葩
葫 葫
葬 葬
葭 葭
葱 葱
葵 葵
葺 葺
蒂 蒂蔕
蒉 簣
蒋 蒋
蒌 褸
蒙 朦蒙濛矇
蒜 蒜
蒡 蒡
蒲 蒲
蒸 蒸烝
蒹 蒹
蒿 蒿
蓁 蓁
蓄 蓄
蓉 蓉
蓊 蓊
蓍 蓍
蓐 蓐
蓑 蓑簑簔
蓖 蓖
蓝 藍
蓟 薊
蓣 蕷
蓦 驀
蓬 蓬
蓼 蓼
蓿 蓿
蔑 蔑
蔓 蔓
蔗 蔗
蔚 蔚
蔟 蔟
蔡 蔡
蔬 蔬
蔷 薔
蔺 藺
蔼 藹
蔽 蔽
蕃 蕃
蕈 菌蕈
蕉 蕉
蕊 蕊蕋蘂
蕨 蕨
蕴 蘊薀
蕾 蕾
薄 薄
薇 薇
薛 薛
薜 薜
薤 薤
薨 薨
薪 薪
薮 籔藪薮
薯 薯藷
薰 薫
薹 苔薹
藁 稿稾藁
藉 借藉
藏 藏蔵
藐 藐
藓 蘚
藕 藕
藜 藜
藤 藤籐籘
藩 藩
藻 藻
蘖 檗蘖蘗
虍 虍
虎 虎乕
虏 虜
虐 虐
虑 慮
虔 虔
虚 虚
虞 虞
虫 虫蟲
虬 蚪
虱 虱蝨
虹 虹
虻 虻
虽 雖
虾 蝦鰕
蚀 蝕
蚁 蟻
蚊 蚊
蚋 蚋
蚌 蚌
蚓 蚓
蚕 蚕蠶
蚣 蚣
蚤 蚤
蚩 蚩
蚪 蚪
蚬 蜆
蚯 蚯
蚰 蚰
蚶 蚶
蛄 蛄
蛆 蛆
蛇 蛇
蛉 蛉
蛊 蠱
蛋 旦蛋蜑
蛎 蠣蛎
蛏 蟶
蛔 蛔
蛙 蛙
蛛 蛛
蛞 蛞
蛟 蛟
蛤 蛤
蛩 蛩
蛭 蛭
蛮 蠻蛮
蛰 蟄
蛲 蟯
蛸 蛸
蛹 蛹
蛾 蛾
蜀 蜀
蜂 蜂
蜃 蜃
蜈 蜈
蜉 蜉
蜊 蜊
蜍 蜍
蜒 蜒
蜕 蛻
蜗 蝸
蜘 蜘
蜚 蜚
蜜 蜜
蜡 蝋
蜥 蜥
蜩 蜩
蜴 蜴
蜷 蜷
蜻 蜻
蜿 蜿
蝇 蠅蝿
蝉 蝉
蝌 蝌
蝎 蝎蠍
蝓 蝓
蝗 蝗
蝙 蝙
蝠 蝠
蝣 蝣
蝮 蝮
蝴 蝴
蝶 蝶
蝼 螻
蝾 蠑
螂 螂
融 融
螗 螳
螟 螟
螫 著螫
螯 螯
螳 螳蟷
螺 螺
螽 螽
蟀 蟀
蟆 蟆蟇
蟋 蟋
蟒 蟒蠎
蟠 蟠
蟹 蟹蠏
蟾 蟾
蠃 螺
蠕 蠕
蠖 蠖
蠡 蠡
蠢 蠢惷
蠹 蠹蠧
血 血
衄 衄衂
衅 釁
行 行
衍 衍
衔 啣銜
街 街
衙 衙
衡 衡
衢 衢
衣 衣
衤 衣
补 補
表 表
衫 衫
衬 襯
衮 袞
衰 衰
衲 衲
衷 衷
衽 衽袵
衾 衾
衿 衿襟
袁 袁
袂 袂
袄 澳襖
袈 袈
袋 袋
袍 袍
袒 袒
袖 袖
袜 襪韈
袢 袢
袤 袤
被 被
袭 襲
袱 袱
袷 袷
裁 裁
裂 裂
装 裝装
裆 襠
裔 裔
裕 裕
裘 裘
裙 裙
裟 裟
裤 綯袴
裨 裨
裳 裳
裴 裴
裸 裸
裹 裹裏
裼 裼
裾 裾
褂 褂
褊 褊
褐 褐
褒 褒襃
褓 褓
褛 褸
褥 褥
褪 褪
褫 褫
褴 褓襤繿
褶 褶
襁 襁繦
襄 襄
襞 襞
襟 衿襟
襦 襦
西 西襾
要 要
覃 覃
覆 覆復
见 見
观 觀観
规 槻規
觅 覓
视 視
觇 覘
览 覽覧
觉 覺覚
觊 覬
觋 覡
觌 覿
觎 覦
觏 覯
觐 覲
角 角
觚 觚
觜 咀嘴觜
觞 觴
解 解觧
触 触觸
言 言
詈 詈
誉 域譽誉
誊 謄
誓 誓
謇 謇
謦 謦
警 警
譬 譬
计 計
订 訂
讣 訃
认 認
讥 譏
讦 訐
讧 訌
讨 討
让 讓譲
讫 訖
训 訓
议 議
讯 訊
记 記
讲 講
讳 諱
讴 謳
讶 訝
讷 吶訥
许 許
讹 訛譌
论 論
讼 訟
讽 諷
设 設
访 訪
诀 訣
证 証證
诂 詁
诃 呵訶
评 評
诅 詛
识 識
诈 詐
诉 愬訴
诊 診
诋 詆
词 詞
诏 詔
译 譯訳
诒 詒
诔 誄
试 試
诗 詩
诘 詰
诙 詼
诚 誠
诛 誅
话 話
诞 誕
诟 詬
诠 詮
诡 詭
询 詢
诣 詣
诤 諍
该 該
详 詳
诧 詫
诨 諢
诫 誡
诬 誣
语 語
诮 誚
误 誤
诰 誥
诱 誘
诲 誨
诳 誑
说 説
诵 誦
请 請
诸 諸
诹 諏
诺 諾
读 讀読
诽 誹
课 課
谀 諛
谁 誰
调 調
谄 諂
谅 諒
谆 諄
谈 談譚
谊 誼
谋 謀
谍 諜
谏 諫諌
谐 諧
谑 謔
谒 謁
谓 謂
谔 囮諤
谕 諭
谗 讒
谘 咨諮
谙 諳
谚 諺
谛 諦
谜 謎
谝 諞
谟 謨
谡 謖
谢 謝
谣 謠謡
谤 謗
谥 諡謚
谦 謙
谧 謐
谨 謹
谩 謾
谪 謫
谬 謬
谭 談譚
谮 譖譛
谯 誚
谱 譜
谲 譎
谴 譴
谵 譫
谶 讖
谷 谷穀
豁 豁
豆 豆荳
豌 豌
豕 豕
豚 豚
象 像象
豢 豢
豪 豪
豫 予豫預
豸 豸
豹 豹
豺 豺犲
貂 貂
貅 貅
貉 貉狢
貊 貊貘
貌 貌皃
貔 貔豼
貘 貊貘獏
贝 貝
贞 貞
负 負
贡 貢
财 才財戝
责 拆責
贤 賢
败 敗
账 帳
货 貨
质 質貭
贩 販
贪 貪
贫 貧
贬 貶
购 購
贮 貯
贯 貫
贰 二貳弍弐貮
贱 賤賎
贲 賁
贳 貰
贴 貼
贵 貴
贷 貸
贸 貿
费 費
贺 賀
贻 貽
贼 賊戝
贽 贄
贾 賈
贿 賄
赀 貲
赁 賃
赂 賂
赃 贓賍
资 資
赆 贐
赈 賑
赉 賚
赋 賦
赌 賭
赍 齎
赎 贖
赏 賞
赐 賜
赔 賠
赖 頼
赘 贅
赙 賻
赚 賺
赛 賽
赝 偐贋
赞 讚贊讃賛
赠 憎贈
赡 贍
赢 贏
赤 赤
赦 赦
赧 赧
赫 赫
赭 赭
走 走赱
赳 赳
赴 赴
赵 趙
起 起
趁 趁
超 超
越 越
趋 趨
趣 趣
足 足
趺 趺
趾 趾
跃 躍
跄 蹌
跋 跋
跌 跌
跏 跏
跖 跖蹠
跚 跚
跛 跛
距 距
跟 跟
跣 跣
跨 跨
跪 跪
跫 跫
路 路
跳 跳
践 踐践
跸 蹕
跻 躋
踉 踉
踊 踊踴
踌 躊
踏 踏
踝 踝
踞 踞
踟 踟
踪 蹤踪
踬 躓
踯 躑
踵 踵
蹂 蹂
蹄 蹄
蹇 蹇
蹈 蹈
蹉 蹉
蹊 蹊
蹋 踏
蹑 躡
蹒 蹣
蹙 蹙
蹯 番
蹲 蹲
蹴 蹴
蹶 蹶
蹼 蹼
躁 躁
躅 躅
躇 躇
躏 躪躙
躔 躔
身 身
躬 躬
躯 躯
躲 躱
车 車
轧 軋
轨 軌
轩 軒
转 轉転
轭 軛
轮 輪
软 軟
轰 轟軣
轲 軻
轳 轤
轴 軸
轶 軼
轸 軫
轹 轢轣
轻 輕軽
轼 軾
载 載
轾 輊
轿 轎
辂 輅
较 較
辄 輒輙
辅 輔
辆 輛輌
辇 輦
辈 輩
辉 輝
辍 輟
辎 輜
辏 輳
辐 輻
辑 輯
输 輸
辔 轡
辕 轅
辖 轄
辗 輾
辘 轆
辙 轍
辛 辛
辜 辜
辞 辭辞
辟 辟避闢
辣 辣
辨 弁辨辯辧
辩 弁辨辯
辫 弁辨辮
辰 辰
辱 辱
边 邊辺邉
辽 遼
达 達逹
迁 遷
迂 迂遇
迄 迄
迅 迅
过 過
迈 邁
迎 迎
运 運
近 近
返 返
迕 忤
还 還
这 這
进 進
远 遠
违 違
连 連
迟 遲遅
迢 迢
迥 迥
迦 迦
迨 逮
迩 邇迩
迪 迪廸
迫 迫
迭 迭
述 述
迳 徑逕径
迷 迷
迸 迸
迹 速跡蹟迹
追 追
退 退
送 送
适 適
逃 逃迯
逅 逅遘
逆 逆
选 選
逊 遜
逋 逋
逍 逍
透 透
逐 逐
逑 逑
递 遞逓
途 途
逖 逖
逗 逗
通 通
逝 逝
逞 期逞
速 速跡蹟迹
造 造
逡 逡
逢 逢
逮 逮
逵 逵
逶 逶
逸 逸
逻 邏
逼 逼
逾 逾踰
遁 遁
遂 遂
遇 迂遇
遍 遍
遏 遏
遐 遐
遑 徨遑
遒 遒逎
道 道
遗 遺
遘 逅遘
遣 遣
遥 遙遥
遨 遨
遭 遭
遮 遮
遵 遵
遽 遽
避 辟避
邀 邀
邂 邂
邃 邃
邑 邑
邕 雍
那 那
邦 邦
邪 邪
邬 塢
邮 郵
邯 邯
邱 邱
邵 邵
邸 邸
邹 鄒
邻 鄰隣
郁 郁鬱欝
郄 隙郤
郅 胝
郊 郊
郎 郎
郑 鄭
郛 郛
郡 郡
郢 郢
部 部卩
郭 郭
郸 鄲
都 都
鄂 鄂
鄙 鄙
酉 酉酋
酊 酊
酋 酉酋
酌 酌
配 配
酎 酎
酒 酒
酢 酢醋
酣 酣
酥 酥
酩 酩
酪 酪
酬 酬
