一 一壹弌
厅 廳庁廰
历 暦歴
压 壓圧
厌 厭
厕 廁厠
厘 厘釐
厚 厚
原 原
厢 廂
厥 厥
厦 廈厦
厨 廚厨
厩 厩廏廐
厮 廝厮
厶 某私厶
去 去
县 縣県
叁 三
参 三參参
又 又
叉 叉扠釵扨
及 及
友 友
双 雙双
反 反
发 發髮発髪
叔 叔
取 取
受 受
变 變変
叙 敘叙敍
叛 叛
叟 叟
叠 迭疊畳疉疂
口 口
古 古
句 勾句
叨 叨饕
叩 叩
只 只子止祗祇隻
叫 叫
召 召
叭 叭
叮 叮
可 可
台 台臺颱
叱 叱
史 史
右 右
叶 葉叶
号 號号
司 司
叹 嘆歎
吁 吁
吃 吃喫
各 各
合 合閤
吉 吉
吊 吊弔
同 仝同
名 名
后 后後
吏 吏
吐 吐
向 向嚮
吒 咤
吓 嚇
吕 呂
君 君
吝 吝悋
吞 呑
吟 吟
吠 吠
否 否
吨 噸
吩 吩
含 含
听 听聽聴
吭 吭
吮 吮
启 啓
吲 哂
吴 呉
吸 吸
吹 吹
吻 吻
吼 吼
吾 吾
呀 呀
呃 阨
呆 呆
呈 呈
告 告
呐 吶訥
呒 嘸
呓 囈
呕 嘔
呗 唄
员 員
呙 咼
呜 嗚
周 周週
呱 呱
味 味
呵 呵訶
呶 呶
呷 呷
呻 呻
呼 呼
命 命
咀 咀嘴觜
咄 咄
咆 咆
咋 咋
和 和
咎 咎
咏 詠咏
咐 咐
咒 咒呪
咛 嚀
咤 咤
咨 咨諮
咫 咫
咬 咬
咯 咯喀
咳 咳
咸 咸鹹
咽 咽嚥
哀 哀
品 品
哂 哂
哄 哄鬨閧
哇 哇
哈 哈
哉 哉
哌 呱
响 響
哑 唖
哗 嘩譁
哥 哥
哦 哦
哨 哨
哩 哩
哭 哭
哮 哮
哲 哲
哺 哺餔
哼 苛
哽 哽
唆 唆
唇 唇脣
唉 欸
唏 唏
唐 唐
唔 唔
唤 喚
唧 喞
售 售
唯 唯
唱 唱
唳 唳
唷 唹
唾 唾
啃 齦
啄 啄
商 商
啊 阿
啖 啖啗
啜 啜
啧 嘖
啬 嗇
啭 囀
啮 囓齧噛
啸 嘯
啻 啻
啼 啼
啾 啾
喀 咯喀
喃 喃娚嫐
善 善譱
喇 喇
喉 喉
喊 喊
喋 喋
喘 喘
喙 喙
喜 喜憙
喝 喝
喟 喟
喧 喧諠
喷 噴
喻 喩
嗄 嗄
嗅 嗅
嗔 嗔
嗜 嗜
嗟 嗟
嗣 嗣
嗤 嗤
嗫 囁
嗷 嗷
嗽 嗽
嗾 嗾
嘉 嘉
嘘 嘘
嘛 嘛
